Date,Total_LDZ_Demand
2017-11-06,683.497224
2017-11-07,719.180764
2017-11-08,734.368498
2017-11-09,689.77203
2017-11-10,666.403616
2017-11-11,606.289472
2017-11-12,683.261233
2017-11-13,812.087753
2017-11-14,780.959484
2017-11-15,749.185781
2017-11-16,747.621186
2017-11-17,771.062451
2017-11-18,735.803267
2017-11-19,737.636731
2017-11-20,781.444322
2017-11-21,705.901942
2017-11-22,662.579369
2017-11-23,660.412521
2017-11-24,695.472437
2017-11-25,739.909829
2017-11-26,780.834842
2017-11-27,864.557855
2017-11-28,896.658747
2017-11-29,951.64613
2017-11-30,998.669264
2017-12-01,1019.332068
2017-12-02,974.185347
2017-12-03,921.469013
2017-12-04,943.659922
2017-12-05,912.954955
2017-12-06,882.273607
2017-12-07,896.00429
2017-12-08,953.594319
2017-12-09,971.537922
2017-12-10,987.791992
2017-12-11,1054.862811
2017-12-12,1040.207048
2017-12-13,992.824044
2017-12-14,972.857806
2017-12-15,974.875972
2017-12-16,954.670326
2017-12-17,936.284517
2017-12-18,1010.442731
2017-12-19,1005.195249
2017-12-20,936.834177
2017-12-21,862.122569
2017-12-22,803.251282
2017-12-23,726.482826
2017-12-24,694.800587
2017-12-25,712.128187
2017-12-26,775.993307
2017-12-27,882.969867
2017-12-28,944.077044
2017-12-29,946.743144
2017-12-30,777.714699
2017-12-31,708.979798
2018-01-01,756.499355
2018-01-02,812.639694
2018-01-03,816.939899
2018-01-04,774.748565
2018-01-05,800.408427
2018-01-06,795.320009
2018-01-07,862.393877
2018-01-08,942.914101
2018-01-09,893.866433
2018-01-10,849.985075
2018-01-11,874.505903
2018-01-12,873.092483
2018-01-13,862.62278
2018-01-14,897.868427
2018-01-15,944.553987
2018-01-16,950.651342
2018-01-17,980.846008
2018-01-18,936.060432
2018-01-19,954.723683
2018-01-20,918.998001
2018-01-21,898.480893
2018-01-22,884.058778
2018-01-23,830.423128
2018-01-24,780.742442
2018-01-25,802.422052
2018-01-26,831.14036
2018-01-27,784.406265
2018-01-28,712.102735
2018-01-29,789.216069
2018-01-30,836.762815
2018-01-31,858.927199
2018-02-01,913.672881
2018-02-02,924.963983
2018-02-03,917.657184
2018-02-04,960.280194
2018-02-05,1081.139326
2018-02-06,1118.43264
2018-02-07,1123.16395
2018-02-08,1084.798032
2018-02-09,1069.48574
2018-02-10,968.974079
2018-02-11,944.435279
2018-02-12,1036.838586
2018-02-13,1060.620132
2018-02-14,1057.142488
2018-02-15,987.366218
2018-02-16,944.084548
2018-02-17,897.405368
2018-02-18,898.381124
2018-02-19,960.543198
2018-02-20,970.228957
2018-02-21,1015.789093
2018-02-22,1066.268279
2018-02-23,1101.982341
2018-02-24,1039.777653
2018-02-25,1104.958314
2018-02-26,1284.691569
2018-02-27,1330.596063
2018-02-28,1401.706456
2018-03-01,1389.073719
2018-03-02,1294.061873
2018-03-03,1117.034461
2018-03-04,962.782049
2018-03-05,926.13179
2018-03-06,889.24687
2018-03-07,870.339902
2018-03-08,858.029913
2018-03-09,778.626658
2018-03-10,642.879603
2018-03-11,605.82294
2018-03-12,681.242329
2018-03-13,717.701423
2018-03-14,708.455543
2018-03-15,748.326855
2018-03-16,762.969285
2018-03-17,926.466542
2018-03-18,1017.36069
2018-03-19,1077.99432
2018-03-20,1013.831992
2018-03-21,965.145044
2018-03-22,914.3851
2018-03-23,841.626869
2018-03-24,720.036594
2018-03-25,689.915696
2018-03-26,736.577369
2018-03-27,743.634117
2018-03-28,745.253048
2018-03-29,736.359612
2018-03-30,697.070241
2018-03-31,678.829161
2018-04-01,668.887052
2018-04-02,647.145428
2018-04-03,587.097305
2018-04-04,585.352505
2018-04-05,602.632231
2018-04-06,546.355531
2018-04-07,449.343084
2018-04-08,410.309214
2018-04-09,457.227589
2018-04-10,478.05199
2018-04-11,501.443038
2018-04-12,514.508648
2018-04-13,491.693546
2018-04-14,383.828767
2018-04-15,379.201806
2018-04-16,398.854623
2018-04-17,372.041128
2018-04-18,297.274911
2018-04-19,258.30964
2018-04-20,239.992632
2018-04-21,208.26281
2018-04-22,208.128561
2018-04-23,276.300398
2018-04-24,317.904979
2018-04-25,321.195202
2018-04-26,365.359444
2018-04-27,383.089043
2018-04-28,359.247394
2018-04-29,372.874284
2018-04-30,433.240046
2018-05-01,402.945355
2018-05-02,408.313801
2018-05-03,384.489205
2018-05-04,335.62463
2018-05-05,250.462171
2018-05-06,221.933688
2018-05-07,221.801443
2018-05-08,221.160623
2018-05-09,230.602451
2018-05-10,244.704942
2018-05-11,259.384683
2018-05-12,232.780959
2018-05-13,240.496007
2018-05-14,277.366837
2018-05-15,268.693591
2018-05-16,281.751326
2018-05-17,290.111392
2018-05-18,284.098594
2018-05-19,243.056477
2018-05-20,215.770678
2018-05-21,217.59948
2018-05-22,234.462024
2018-05-23,239.805943
2018-05-24,235.606048
2018-05-25,223.68244
2018-05-26,177.153824
2018-05-27,164.86124
2018-05-28,190.4196
2018-05-29,203.35015
2018-05-30,209.532095
2018-05-31,203.010434
2018-06-01,198.46167
2018-06-02,169.035137
2018-06-03,169.05945
2018-06-04,207.306974
2018-06-05,216.650395
2018-06-06,212.133408
2018-06-07,206.022248
2018-06-08,199.595554
2018-06-09,166.113197
2018-06-10,163.383554
2018-06-11,198.015459
2018-06-12,216.953608
2018-06-13,220.054229
2018-06-14,218.406366
2018-06-15,210.403841
2018-06-16,176.145542
2018-06-17,171.651615
2018-06-18,207.599187
2018-06-19,206.577987
2018-06-20,205.609043
2018-06-21,215.449691
2018-06-22,222.574156
2018-06-23,196.106812
2018-06-24,191.174397
2018-06-25,215.285502
2018-06-26,208.677289
2018-06-27,202.032433
2018-06-28,195.20114
2018-06-29,184.316539
2018-06-30,152.530574
2018-07-01,148.974319
2018-07-02,180.70873
2018-07-03,188.842281
2018-07-04,187.268455
2018-07-05,187.47161
2018-07-06,179.13269
2018-07-07,154.466153
2018-07-08,150.648612
2018-07-09,185.289557
2018-07-10,196.669102
2018-07-11,197.473965
2018-07-12,196.992386
2018-07-13,184.292251
2018-07-14,147.735113
2018-07-15,145.155517
2018-07-16,178.655082
2018-07-17,183.682389
2018-07-18,182.548682
2018-07-19,181.299463
2018-07-20,173.878904
2018-07-21,150.952824
2018-07-22,143.176784
2018-07-23,171.152995
2018-07-24,172.288695
2018-07-25,166.538252
2018-07-26,165.911343
2018-07-27,158.011031
2018-07-28,141.993148
2018-07-29,138.622015
2018-07-30,163.286776
2018-07-31,163.0541
2018-08-01,165.84569
2018-08-02,165.042802
2018-08-03,157.558144
2018-08-04,133.626501
2018-08-05,132.488727
2018-08-06,153.105431
2018-08-07,154.272967
2018-08-08,158.506781
2018-08-09,165.573579
2018-08-10,169.52265
2018-08-11,151.133798
2018-08-12,147.085686
2018-08-13,170.146197
2018-08-14,167.647602
2018-08-15,152.014899
2018-08-16,167.286313
2018-08-17,165.547915
2018-08-18,148.076506
2018-08-19,148.345283
2018-08-20,178.755397
2018-08-21,176.226723
2018-08-22,176.539205
2018-08-23,178.460548
2018-08-24,189.541434
2018-08-25,183.355075
2018-08-26,192.123044
2018-08-27,213.269821
2018-08-28,210.625417
2018-08-29,216.12267
2018-08-30,220.28764
2018-08-31,215.002863
2018-09-01,189.432653
2018-09-02,179.23275
2018-09-03,212.39302
2018-09-04,214.684159
2018-09-05,214.479696
2018-09-06,218.935385
2018-09-07,227.928488
2018-09-08,204.316751
2018-09-09,187.063561
2018-09-10,228.475679
2018-09-11,229.305397
2018-09-12,238.961177
2018-09-13,248.057452
2018-09-14,242.514623
2018-09-15,210.527308
2018-09-16,199.760397
2018-09-17,219.307104
2018-09-18,211.563136
2018-09-19,213.919675
2018-09-20,228.070295
2018-09-21,237.883073
2018-09-22,252.317384
2018-09-23,271.8127
2018-09-24,335.347628
2018-09-25,360.824385
2018-09-26,341.841122
2018-09-27,305.027524
2018-09-28,321.852703
2018-09-29,316.18932
2018-09-30,329.270754
2018-10-01,406.647019
2018-10-02,398.75037
2018-10-03,373.692049
2018-10-04,359.42624
2018-10-05,332.650532
2018-10-06,310.973524
2018-10-07,334.40257
2018-10-08,367.74639
2018-10-09,338.622243
2018-10-10,305.018809
2018-10-11,290.068909
2018-10-12,272.58334
2018-10-13,227.527033
2018-10-14,252.522162
2018-10-15,311.125355
2018-10-16,304.987471
2018-10-17,322.107686
2018-10-18,352.387279
2018-10-19,376.793432
2018-10-20,357.567776
2018-10-21,358.502083
2018-10-22,453.506409
2018-10-23,470.003717
2018-10-24,434.087028
2018-10-25,444.017167
2018-10-26,486.44144
2018-10-27,562.52488
2018-10-28,607.255996
2018-10-29,703.599727
2018-10-30,700.051656
2018-10-31,646.469765
2018-11-01,586.590899
2018-11-02,616.348347
2018-11-03,578.802248
2018-11-04,547.230373
2018-11-05,555.543989
2018-11-06,513.179083
2018-11-07,532.115525
2018-11-08,559.224206
2018-11-09,556.883035
2018-11-10,501.899438
2018-11-11,493.924313
2018-11-12,536.150809
2018-11-13,552.690496
2018-11-14,574.673099
2018-11-15,614.210976
2018-11-16,669.432873
2018-11-17,690.155438
2018-11-18,756.985161
2018-11-19,889.213348
2018-11-20,944.01677
2018-11-21,937.343035
2018-11-22,922.13615
2018-11-23,869.478779
2018-11-24,786.179933
2018-11-25,784.547865
2018-11-26,857.090583
2018-11-27,876.694584
