date,column,livesheet,code,difference
2024-03-17,LDZ,449.01563798646936,241.43,207.58563798646935
2024-03-18,LDZ,485.6846880428083,239.49,246.1946880428083
2024-03-19,LDZ,479.2302252622224,269.74,209.4902252622224
2024-03-20,LDZ,454.72980583353785,335.02,119.70980583353787
2024-03-21,LDZ,453.4513454992452,361.69,91.76134549924518
2024-03-22,LDZ,455.5781393114255,316.94,138.6381393114255
2024-03-23,LDZ,485.09379465494004,264.27,220.82379465494006
2024-03-24,LDZ,525.0679638677702,216.73,308.3379638677702
2024-03-25,LDZ,577.7629778856985,240.09,337.6729778856985
2024-03-26,LDZ,560.5961981872267,337.86,222.7361981872267
2024-03-27,LDZ,559.7753545478486,387.05,172.72535454784855
2024-03-28,LDZ,573.9277887755624,433.75,140.17778877556236
2024-03-29,LDZ,489.65928302946764,442.63,47.02928302946765
2024-03-30,LDZ,412.4061507073723,436.28,23.873849292627654
2024-03-31,LDZ,402.36831661340216,417.1,14.731683386597865
2024-04-01,LDZ,434.3983034382418,430.79,3.6083034382417623
2024-04-02,LDZ,469.6135783996211,514.8,45.18642160037888
2024-04-03,LDZ,471.6653503586911,509.68,38.01464964130889
2024-04-04,LDZ,435.69515491113066,510.28,74.58484508886932
2024-04-05,LDZ,361.6740405409247,489.51,127.8359594590753
2024-04-06,LDZ,270.19877853074297,440.36,170.16122146925704
2024-04-07,LDZ,267.5358999175824,366.42,98.8841000824176
2024-04-08,LDZ,308.59183298824576,336.77,28.178167011754226
2024-04-09,LDZ,371.78877901621837,315.58,56.20877901621839
2024-04-10,LDZ,402.27222340503863,254.55,147.72222340503862
2024-04-11,LDZ,352.3164344094433,221.6,130.71643440944328
2024-04-12,LDZ,294.52496337110705,260.81,33.714963371107046
2024-04-13,LDZ,239.39097111074403,289.58,50.18902888925595
2024-04-14,LDZ,261.78222600507587,250.76,11.02222600507588
2024-04-15,LDZ,368.3248207776577,225.77,142.55482077765768
2024-04-16,LDZ,427.47307904998144,260.21,167.26307904998146
2024-04-17,LDZ,483.8123443758525,256.02,227.7923443758525
2024-04-18,LDZ,497.6135540001616,241.52,256.0935540001616
2024-04-19,LDZ,484.5576370465167,212.38,272.1776370465167
2024-04-20,LDZ,461.4386261253908,190.17,271.2686261253908
2024-04-21,LDZ,476.99124470451767,161.14,315.8512447045177
2024-04-22,LDZ,568.1013822538412,152.59,415.51138225384113
2024-04-23,LDZ,569.0009296331926,182.32,386.68092963319265
2024-04-24,LDZ,550.5259634912006,184.53,365.99596349120065
2024-04-25,LDZ,545.4279232975729,191.28,354.1479232975729
2024-04-26,LDZ,486.4137262320906,201.88,284.5337262320906
2024-04-27,LDZ,389.1084136261396,188.82,200.28841362613963
2024-04-28,LDZ,356.4637794582993,167.32,189.14377945829932
2024-04-29,LDZ,336.8804379134841,162.05,174.8304379134841
2024-04-30,LDZ,289.151136168357,179.22,109.93113616835703
2024-05-01,LDZ,254.52860798234937,197.79,56.73860798234938
2024-05-02,LDZ,291.539191407761,205.85,85.689191407761
2024-05-03,LDZ,323.52063681550845,214.74,108.78063681550844
2024-05-04,LDZ,284.33800669297506,208.84,75.49800669297505
2024-05-05,LDZ,254.86424604506342,168.04,86.82424604506343
2024-05-06,LDZ,292.8830269369818,161.98,130.90302693698183
2024-05-07,LDZ,294.68819623095993,191.0,103.68819623095993
2024-05-08,LDZ,282.5809291450501,203.35,79.23092914505011
2024-05-09,LDZ,250.8898908930965,201.05,49.83989089309648
