1,Slovakia_Austria,Russia_NordStream_Germany,Norway_Europe,Netherlands_Production,GB_Production,LNG_Total,Algeria_Italy,Libya_Italy,Spain_France,Denmark_Germany,Czech_Poland_Germany,Austria_Hungary_Export,Slovenia_Austria,MAB_Austria,TAP_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2024-02-12,23.347066730126738,0.0,317.484127597744,33.41878357226402,86.46000000000001,243.49506059551314,38.28167853609547,5.028649337625503,2.9091788053438066,0.0,-11.536078961960971,-0.29690878342092036,-2.2057249884083867,-3.5069054590463637,29.981414404840024,1.3736349410563706,7.368083278469742,10.227180317498,781.8292399237403
2024-02-13,24.162974976055324,0.0,318.2399296557494,33.09760208670795,86.18,245.5518464456312,42.842528358189014,7.022056364098936,1.774543616771698,0.0,-12.130623800776899,-0.38799959817528723,-2.11978871377036,0.7347265118211509,30.000550748658178,1.376362210959196,7.358074197926372,10.062116852079331,793.7648999119252
2024-02-14,24.77606525021046,0.0,315.4064390702836,31.651239948242903,85.55,229.7911282561384,45.20724409103244,6.019839220208675,1.4719075665548442,0.0,-14.221439817279578,-0.25763609682023525,-2.37646117522493,-2.7718153112381696,29.97273259564936,1.4009076400846243,7.5083922240704295,10.165380381499975,769.2939238434129
2024-02-15,25.53906446002424,0.0,289.5944024435013,32.31578471456468,85.96000000000001,249.87827666324975,50.01014820790142,6.001384693866223,1.2494532514810561,0.007363628737628461,-15.5489838969782,-0.2842724328711629,-2.4025702390946444,-3.1990875960141416,29.992859847532216,1.4036349099874497,7.322401507597416,9.800844395388662,767.6407045588742
2024-02-16,24.377429299414157,0.0,291.4714496100307,31.690058089859786,84.53,244.410815779037,49.928257383619254,7.003283656267821,-0.9233626800999045,0.5091812908574939,-13.734076685644686,0.0,-2.3257794095307585,-2.9202697029486298,30.00044165786207,1.3899985604733227,7.340646943247319,10.433871012533457,763.1819448049782
2024-02-17,24.18497495327145,0.0,308.7832610065848,40.760230514682824,87.61,237.83960945257618,46.2230339481391,3.498860012833029,-1.428180339112878,0.7928173607513309,-12.47589617047459,-0.2046361517086625,-1.717425494106859,-2.1485432294458153,26.9819993293114,1.3636349514126778,7.33743785566166,10.301380240654199,777.7025582410298
2024-02-18,23.433521186046303,0.0,314.1431849621289,44.13177247755229,87.9,239.7898794455014,45.8372434385851,3.5072781859330835,-0.8012718974500894,0.5998175606280565,-12.657441437005998,-0.19599979701638223,-1.7809527010433377,-2.915542435117066,26.63889059373662,1.3454531520605086,7.285528818511218,10.158434934147449,786.4197964871978
2024-02-19,22.34897685468942,0.0,310.04105275565536,44.66704465048015,85.49,299.90555923704807,48.584395139002055,3.0037241619750854,-0.5420903476849198,0.0,-16.372528498634694,-0.5985448346734047,-2.3777066284805537,-3.1823603406101464,26.97393570129871,1.3336349824815987,7.235847051781415,10.332534753844142,836.8434746381723
2024-02-20,24.992337753504515,0.0,315.3361528984688,30.7815135762319,88.72,303.10550329161066,40.22661288549602,2.988705995710194,-3.050996840290725,0.0,-13.75907665975392,-0.3451814607009292,-2.2972158027485015,-1.5829074515998363,26.442118070247773,1.389998560473323,7.17549256883189,10.257653013212234,830.3807103986937
2024-02-21,24.225793092817067,0.0,293.13875823017656,31.669967201575638,88.49,279.5704845162615,43.860518213017286,4.980540296539664,-2.4325429353266954,0.0,-13.331258920997382,-1.1502715360149742,-2.332570311588794,-0.7019083639904857,26.902081230258943,1.3718167611211538,7.301974256025255,10.40558013274148,791.9689618626162
