Date,Slovakia_to_Austria,Russia_Nord_Stream_to_Germany,Norway_to_Europe,Netherlands_Production,GB_Production,LNG_Import,Algeria_to_Italy,Libya_to_Italy,Spain_to_France,Denmark_to_Germany,Czech_and_Poland_to_Germany,Austria_to_Hungary_Export,Slovenia_to_Austria,MAB_to_Austria,TAP_to_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-11-15,104.71,120.48,334.56,143.54,112.52,57.75,60.77,14.98,-9.56,-0.0,157.04,-10.16,-7.74,-5.77,0.0,2.17,16.07,14.6,1105.96
2016-11-16,107.42,120.38,325.42,144.24,114.56,46.18,60.48,14.98,-9.66,-0.64,157.98,-10.07,-7.61,-5.04,0.0,2.23,15.99,14.61,1091.43
2016-11-17,103.44,120.39,331.54,137.65,115.03,49.74,60.42,13.99,-9.85,0.0,157.56,-10.18,-7.9,-10.11,0.0,2.46,16.0,14.65,1084.84
2016-11-18,105.2,120.31,316.76,142.04,115.29,53.5,60.93,14.48,-9.55,-0.02,155.42,-10.14,-7.14,-5.12,0.0,2.74,15.99,14.47,1085.15
2016-11-19,109.24,120.55,320.4,155.84,107.18,52.16,60.95,14.48,-9.28,-1.97,155.11,-9.34,-6.16,-7.56,0.0,2.88,16.02,14.82,1095.31
2016-11-20,104.53,120.52,327.64,139.07,112.5,43.61,60.85,14.48,-9.5,-1.17,155.3,-10.01,-6.31,-7.0,0.0,2.87,16.07,15.04,1078.49
2016-11-21,103.6,120.27,338.52,131.79,110.43,50.91,60.69,14.96,-10.09,-1.29,156.0,-9.92,-6.93,-5.83,0.0,2.93,15.93,14.73,1086.7
2016-11-22,115.56,120.44,335.82,137.13,89.18,68.0,60.31,12.16,-10.2,-2.88,153.7,-10.03,-6.67,-6.91,0.0,2.95,15.95,14.51,1089.02
2016-11-23,112.01,120.38,333.93,136.53,86.74,61.62,60.09,13.98,-10.18,-1.62,157.17,-10.2,-6.63,-7.41,0.0,2.98,15.9,14.55,1079.84
2016-11-24,116.25,120.38,327.39,134.46,95.87,57.53,59.53,14.48,-9.89,-2.0,156.41,-10.13,-6.77,-9.48,0.0,2.98,15.8,14.69,1077.5
2016-11-25,116.64,120.38,319.56,142.29,82.82,38.57,59.92,12.99,-10.87,-0.82,155.61,-10.12,-6.95,-11.85,0.0,2.95,16.06,14.93,1042.1
2016-11-26,109.14,120.4,317.69,135.39,99.76,39.71,60.6,13.47,-10.64,0.0,155.0,-9.72,-6.37,-11.07,0.0,2.93,16.02,14.86,1047.17
2016-11-27,108.84,120.5,315.68,135.4,99.28,27.44,60.62,14.48,-9.97,0.0,152.99,-10.06,-6.43,-12.09,0.0,2.91,15.99,15.07,1030.64
2016-11-28,111.27,120.37,327.68,157.46,105.6,47.01,60.4,13.99,-10.35,0.02,153.56,-10.13,-7.41,-6.98,0.0,2.9,15.85,14.76,1096.0
2016-11-29,116.99,120.41,296.92,157.73,103.97,63.93,59.9,15.72,-11.53,-0.79,154.11,-10.14,-7.91,-5.89,0.0,2.69,15.87,14.83,1086.81
2016-11-30,119.47,120.4,316.9,148.1,106.4,46.34,59.94,13.49,-10.98,-0.01,155.17,-9.83,-8.13,-8.26,0.0,2.6,15.83,14.24,1081.67
2016-12-01,114.09,120.42,321.71,146.75,96.59,53.98,70.93,13.98,-10.64,0.33,151.72,-12.71,-7.95,-7.23,0.0,2.62,16.14,14.2,1084.93
2016-12-02,102.57,120.42,313.47,158.14,104.14,48.25,71.55,13.96,-10.86,0.0,151.09,-12.65,-7.79,-6.08,0.0,2.88,16.11,14.5,1079.71
