Date,Total_Gas_to_Power_Demand
2017-11-18,193.393988
2017-11-19,194.203452
2017-11-20,242.974917
2017-11-21,243.360299
2017-11-22,224.462482
2017-11-23,220.918651
2017-11-24,244.232687
2017-11-25,182.426825
2017-11-26,154.273004
2017-11-27,205.675178
2017-11-28,240.08568
2017-11-29,263.605435
2017-11-30,264.291342
2017-12-01,273.361545
2017-12-02,224.148379
2017-12-03,219.676964
2017-12-04,252.208311
2017-12-05,246.331365
2017-12-06,233.017058
2017-12-07,221.54008
2017-12-08,196.610599
2017-12-09,201.062191
2017-12-10,187.507644
2017-12-11,240.908717
2017-12-12,237.590773
2017-12-13,195.832966
2017-12-14,218.972938
2017-12-15,242.090343
2017-12-16,210.468773
2017-12-17,171.494291
2017-12-18,258.642728
2017-12-19,266.421127
2017-12-20,266.840485
2017-12-21,238.550629
2017-12-22,203.163716
2017-12-23,141.532098
2017-12-24,118.493732
2017-12-25,106.707321
2017-12-26,119.979243
2017-12-27,146.291424
2017-12-28,172.70505
2017-12-29,153.028333
2017-12-30,119.468174
2017-12-31,99.578033
2018-01-01,111.777569
2018-01-02,160.900661
2018-01-03,162.439068
2018-01-04,181.578138
2018-01-05,192.850527
2018-01-06,150.204313
2018-01-07,141.925847
2018-01-08,218.486147
2018-01-09,236.063537
2018-01-10,249.905979
2018-01-11,273.736643
2018-01-12,251.247161
2018-01-13,174.899165
2018-01-14,156.814926
2018-01-15,201.095477
2018-01-16,180.470341
2018-01-17,189.142215
2018-01-18,206.798781
2018-01-19,223.55321
2018-01-20,184.887619
2018-01-21,135.228891
2018-01-22,220.120016
2018-01-23,201.526275
2018-01-24,184.127397
2018-01-25,235.912277
2018-01-26,266.663955
2018-01-27,153.681014
2018-01-28,128.968386
2018-01-29,204.544066
2018-01-30,234.84279
2018-01-31,197.243589
2018-02-01,210.205081
2018-02-02,235.394402
2018-02-03,207.291946
2018-02-04,177.962197
2018-02-05,280.308843
2018-02-06,297.903827
2018-02-07,299.280343
