Date,France_LDZ,Belgium_LDZ,Italy_LDZ,Italy_Other,Netherlands_LDZ,GB_LDZ,Austria_LDZ,Germany_LDZ,Switzerland_LDZ,Luxembourg_LDZ,Ireland_LDZ,Total_LDZ_Demand
2016-12-11,123.2517,30.872786,154.858467,0.394463,62.042027,179.6,31.643604,140.848036,17.05061,2.629543,7.78,750.971235
2016-12-12,141.141399,37.039325,179.479069,-0.226209,73.614015,202.03,32.571784,146.672121,17.333609,3.193906,12.33,845.179019
2016-12-13,140.478082,37.116052,185.003654,2.660088,73.384924,182.66,37.462688,157.673746,16.661919,3.259906,8.07,844.431059
2016-12-14,140.256882,34.949327,189.03895,1.005399,67.468839,174.46,39.04905,155.556657,17.205528,2.956451,12.19,834.137084
2016-12-15,140.360227,37.704143,190.153785,3.381415,75.739194,185.2,38.174506,161.601651,17.861,3.043724,10.75,863.969645
2016-12-16,133.038444,36.019417,190.377276,4.026359,76.888284,183.16,39.184505,184.0269,18.386981,3.207724,13.9,882.21589
2016-12-17,131.659845,34.525146,178.618033,1.738135,64.21257,188.1,35.635418,187.740896,16.898801,3.201088,13.73,856.059932
2016-12-18,137.72563,32.806875,180.759158,1.471835,66.005841,191.0,35.234509,177.018908,16.635101,2.597634,9.77,851.02549
2016-12-19,152.520824,37.414507,206.170341,2.009862,80.36428,207.72,39.605414,183.619992,16.811228,3.142542,14.62,943.998989
2016-12-20,153.55935,44.217318,185.783671,6.733438,99.382352,215.28,40.641776,198.729703,16.812646,3.49636,11.12,975.756615
2016-12-21,147.791801,42.493229,167.23869,0.613818,91.150633,207.73,49.107222,201.175701,16.371356,3.190179,10.9,937.762628
2016-12-22,135.776778,38.594778,169.981315,2.124552,80.590371,212.82,47.771769,191.766165,15.873856,3.002815,10.02,908.322399
2016-12-23,128.154458,36.820507,166.406537,0.408427,79.787281,201.13,41.110867,182.50972,14.749976,2.82327,6.77,860.671042
2016-12-24,108.639524,31.474604,154.013659,0.932163,69.437383,185.14,30.680877,161.994741,12.859114,2.438452,5.04,762.650516
2016-12-25,99.693606,27.621517,141.22429,0.45539,57.329577,141.83,26.649972,139.386219,11.621106,2.249361,4.67,652.731039
2016-12-26,112.571783,32.188512,143.58146,-1.108062,67.031567,183.04,25.357246,128.525594,12.747014,2.364907,5.65,711.950022
2016-12-27,137.077722,37.322689,149.94119,0.639036,74.908013,221.15,32.739966,142.708125,14.338803,2.895633,6.95,820.671177
2016-12-28,149.2051,42.695319,156.66491,-0.414563,89.54918,240.27,31.96724,158.686472,16.002747,3.057997,9.6,897.284402
2016-12-29,162.043787,46.858224,170.668778,0.374863,104.524437,238.36,33.023602,184.714445,17.271555,3.123906,8.35,969.313597
2016-12-30,170.544005,47.317133,177.823052,-0.647399,102.544712,223.61,37.59087,203.707244,19.179644,3.185088,5.68,990.534348
2016-12-31,172.087004,48.376404,176.575126,-0.309645,94.897356,191.34,38.19087,208.583148,16.609801,3.280633,5.0,954.630697
2017-01-01,165.142365,47.894769,167.316609,2.558416,83.622913,198.87,38.026324,209.298783,16.691174,3.193724,4.49,937.105076
2017-01-02,172.327767,47.214042,182.539538,-0.866208,94.007357,238.28,41.289957,214.797687,17.549191,3.559905,9.69,1020.389236
2017-01-03,182.332802,48.244132,181.597176,-1.234971,91.910359,249.05,42.899046,207.667694,18.088736,3.656542,13.5,1037.711515
2017-01-04,177.565434,45.484862,186.001735,-1.125035,90.284088,238.4,39.857231,200.35352,17.561091,3.68136,13.91,1011.974286
2017-01-05,178.862751,48.810859,193.566909,-0.975426,106.367799,263.48,41.869048,228.113673,18.365026,6.233994,10.73,1095.424631
2017-01-06,195.665106,54.272307,206.381068,0.398681,119.31924,249.52,42.409047,251.794012,20.124452,6.378721,14.71,1160.972635
2017-01-07,181.321085,51.36122,221.47558,-1.77928,106.59889,194.8,47.569951,250.760558,19.027826,4.058996,9.29,1084.484825
2017-01-08,154.883349,42.857956,224.216304,1.398253,84.427913,181.63,44.532681,239.194752,16.367165,3.549996,5.19,998.248369
2017-01-09,158.040209,44.238954,246.026054,0.71809,88.659454,203.97,49.824494,234.846848,18.783517,3.682723,7.78,1056.570343
2017-01-10,153.654777,42.870501,249.189924,2.110743,82.655642,211.15,51.942673,220.379954,18.942926,3.633542,7.0,1043.530682
2017-01-11,143.382252,41.526684,249.166787,1.703098,82.902369,215.77,50.297221,203.21679,17.010501,3.583905,7.31,1015.869606
2017-01-12,145.620731,43.974773,239.830043,1.900762,89.619998,248.39,45.988134,194.082344,15.765284,3.394996,10.68,1039.247065
2017-01-13,162.635113,48.15295,225.197358,2.02388,97.897171,270.49,44.077227,199.014339,17.619645,3.635542,11.66,1082.403226
2017-01-14,158.399563,45.914316,201.746891,0.612063,97.894444,248.04,38.39996,201.115519,17.097646,3.721269,8.79,1021.731671
2017-01-15,158.924481,46.310316,200.370338,0.914163,97.296081,219.14,40.623594,216.715412,18.517617,3.29136,7.7,1009.803362
2017-01-16,179.664096,51.171856,232.15776,-0.485609,112.778429,217.18,49.129949,238.924753,20.245506,3.984723,11.47,1116.221463
2017-01-17,204.489652,56.243942,230.90247,2.476852,124.041326,227.64,48.980858,248.195198,20.433242,4.250905,12.37,1180.024445
2017-01-18,212.573471,59.196121,225.217658,-0.218254,125.944597,235.7,50.265402,254.9481,20.683488,4.419359,13.13,1201.85994
2017-01-19,213.026916,57.064214,220.407326,1.789025,115.747153,235.09,51.572674,255.215372,20.27227,5.679358,11.95,1187.814308
2017-01-20,206.85704,54.090944,218.269492,0.81279,110.832703,241.45,51.339038,246.289927,19.69278,4.131178,10.83,1164.595892
2017-01-21,189.710958,51.203038,198.468404,0.470145,102.533985,251.35,50.289948,239.107752,19.863461,4.087541,10.98,1118.065232
2017-01-22,185.070945,51.877401,187.068243,-0.241236,107.338162,254.05,47.704496,244.782383,19.744152,3.95536,11.01,1112.359904
2017-01-23,198.052731,53.197945,204.457997,0.541327,109.841159,260.33,53.529035,247.09838,20.813169,4.371632,9.46,1161.693376
2017-01-24,198.968812,52.239582,194.597762,0.897826,104.543801,245.71,54.921761,246.042291,21.074633,4.050905,9.46,1132.507373
2017-01-25,209.315092,56.16676,198.449704,0.2025,118.266514,247.95,52.133582,251.231649,21.289205,4.18945,5.16,1164.354456
2017-01-26,202.2291,56.91685,208.247421,-0.042282,122.06851,284.76,48.983586,246.556745,21.340251,4.123359,6.91,1202.093539
2017-01-27,167.827944,49.418767,207.485631,0.327791,107.746252,268.1,47.667223,238.188572,20.110634,4.118723,11.75,1122.741536
2017-01-28,157.190137,37.641597,190.423839,0.124145,82.393096,222.97,46.379043,221.774861,17.593473,3.639451,10.56,990.689643
