,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Ireland,Total,Industrial,LDZ,Gas_to_Power,Slovakia_Austria,Russia_NordStream_Germany,Norway_Europe,Netherlands_Production,GB_Production,LNG_Total,Algeria_Italy,Libya_Italy,Spain_France,Denmark_Germany,Czech_Poland_Germany,Austria_Hungary_Export,Slovenia_Austria,MAB_Austria,TAP_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-11-08,207.87,69.31,239.86,147.83,318.05,36.89,375.44,16.16,1.7,11.03,1424.14,344.35,845.97,228.43,100.5573504050672,120.40787530177832,324.8203530836396,174.30936493422837,101.26000000000002,60.599958407133066,55.98275111339315,16.020801590166986,-9.9750805785805,-2.173634112551808,68.77930149724259,-9.738171733021735,-7.619537563510239,-7.175992568314076,0.0,2.6899972141534088,16.003156153895706,14.717375667309014,1019.4658688120292
2016-11-09,201.2,68.93,253.64,146.63,307.18,35.63,381.86,14.36,2.4,12.5,1424.33,340.6,852.66,225.54,109.54052291999012,120.38132987472414,330.4004304795936,168.02873507501187,102.49,50.74936943722144,56.20016907004639,15.994892526090144,-9.649626370176671,-1.2254532763361932,69.11881023654564,-10.265262096241116,-7.525537660859526,-7.142810784496366,0.0,2.6972699338942765,16.06240154708475,14.73102110772282,1020.5862620198152
2016-11-10,182.38,64.07,255.17,141.88,297.64,34.52,382.6,13.0,2.31,11.98,1385.54,338.76,819.36,222.46,116.98687884467095,120.41296620559692,326.51774442004114,161.3026511316672,103.0,55.82768214229494,55.93886024975702,15.483893055297434,-9.340172145202756,-0.8219991487115621,71.14718995407299,-10.078898652881383,-7.635628455936909,-5.63408507425338,0.0,2.4918156012147668,16.127674206759036,14.789139229352026,1026.5157115637385
2016-11-11,175.19,64.59,254.8,142.35,285.51,33.21,380.43,13.43,2.86,8.02,1360.4,327.26,814.9,214.16,112.5015198534876,120.39869349310548,329.05809917225463,169.14282483031602,109.06,45.28350915201753,55.26212458696961,15.973292548459767,-9.426444783128796,-0.0236363391578197,72.51859762470873,-10.11498952459544,-7.78317375767976,-6.405357002772391,0.0,2.5336337397247557,16.015637959150972,14.795384677429498,1028.7897162302904
2016-11-12,176.65,64.55,224.7,134.79,256.33,31.95,361.58,13.24,1.93,9.68,1275.4,299.48,782.99,189.49,111.51642996458708,120.31114812922478,313.4929472503461,167.70628086350115,97.79,48.56592360306084,55.22337008165047,15.49681122373715,-8.926354391947388,-2.254270392678678,76.18521200926452,-10.07208047812432,-7.131174432910979,-5.039358417443931,0.0,2.575451878234744,16.04556520088464,14.71434839771688,1006.200250489103
2016-11-13,165.65,62.57,218.0,134.48,252.65,32.45,370.86,13.15,1.7,7.61,1259.13,306.95,770.75,178.2,114.82760835360736,120.47214796248824,322.60830485572217,168.2305530478209,106.51,50.48687551702484,60.289055744556336,17.464318277033417,-8.509627550795674,-2.229634054556489,75.47356729172093,-10.091898639418185,-7.1176289923936125,-5.392721687853336,0.0,2.527270109951496,16.05551973602995,14.728384746816754,1036.332094717755
2016-11-14,193.64,67.54,275.7,146.79,248.7,36.84,402.33,14.6,2.43,8.66,1397.21,344.95,827.53,221.11,101.88925811661034,120.44796616934984,340.538077765768,170.09855111326277,102.98,55.27761574086323,60.78252796077357,15.98460162765682,-9.29199037691951,-0.9508171971216798,74.32200484795202,-10.087444098576904,-7.974628104858101,-4.670176981598138,0.0,1.9527252504229544,15.977037999126315,14.584039441759884,1041.8593492744712
2016-11-15,182.04,60.83,286.08,120.22,226.29,39.57,370.63,13.16,2.69,9.06,1310.56,334.84,754.42,217.36,104.70625519923864,120.48142068015784,334.5625980348811,152.18229694063217,112.52,57.74869367430956,60.772573425628245,14.984502663391083,-9.560171917364002,-0.0039999958574771,72.6895156295188,-10.16326220187545,-7.744091979972272,-5.767266754508018,0.0,2.170906842648983,16.07347426289022,14.598039427261057,1030.2514839309806
2016-11-16,172.04,56.91,285.25,106.6,232.17,38.89,318.01,11.19,1.45,8.98,1231.48,316.8,699.68,211.52,107.41525239371508,120.38414805362376,325.4247816113755,146.38757566910238,114.56,46.18135972287208,60.47897372968942,14.978293578912318,-9.660444540791213,-0.6449084230214358,73.77754177545158,-10.073625931069255,-7.613819387613981,-5.04463113925606,0.0,2.227270420640707,15.98626526229754,14.606303055066617,1009.3703358509954
2016-11-17,165.75,56.02,281.11,109.69,271.97,33.43,286.34,10.29,1.63,11.19,1227.42,307.05,711.12,205.77,103.43889287539572,120.3939662252739,331.54117254685457,150.31629887311905,115.03,49.74365664466695,60.419037428124994,13.98997642062679,-9.846807984150946,0.0,75.86125779930727,-10.177534914366902,-7.901028181080519,-10.10853498582542,0.0,2.4590883623808626,16.000101611604542,14.652693916113677,1015.8122366380446
2016-11-18,174.34,62.13,262.96,119.16,305.04,31.96,276.21,10.52,1.95,11.6,1255.87,306.27,737.55,209.66,105.20016377864032,120.30851176831872,316.76115702662617,150.02866280736774,115.29000000000002,53.49899416268319,60.93313689570726,14.476094099006056,-9.545717386879026,-0.01936361631006,81.03131608139424,-10.143989494562147,-7.142992602489888,-5.1199946975708,0.0,2.735451712533832,15.98781980614215,14.474557736960795,1018.7538080775688
2016-11-19,161.86,57.03,215.95,112.96,290.73,24.48,271.25,11.57,2.22,11.65,1159.71,276.9,708.69,171.13,109.24197777462751,120.54614788585155,320.39942841972413,155.8330204325542,107.18,52.1553930479303,60.947264153803886,14.481066821128875,-9.283081295236943,-1.9662706909403207,81.52232466379927,-9.339444873228668,-6.161448164463043,-7.563264894515275,0.0,2.8772697474807503,16.018437956251205,14.82273010365516,1021.7115510884224
2016-11-20,136.77,49.78,196.71,104.87,293.08,24.07,264.23,11.39,2.29,11.71,1094.9,263.28,671.99,156.96,104.53398265037686,120.51760246086866,327.63791972391755,148.15302838619797,112.5,43.605637323540456,60.84951880048663,14.484139545219392,-9.49880834455043,-1.1704533332958815,81.58333369152544,-10.00744418142736,-6.314811641998588,-7.001083658546209,0.0,2.8709061177074906,16.06912881284505,15.0353571561791,1013.847953509046
2016-11-21,153.03,51.34,242.31,104.5,296.61,28.93,275.54,11.77,1.5,12.97,1178.5,301.88,677.56,196.22,103.59761998374016,120.2660572668314,338.52149210379423,142.40557979298384,110.43,50.91148653979004,60.68991896577328,14.96442995690629,-10.09453500032425,-1.2914532079845666,80.64918920440971,-9.9193533635661,-6.932174639001489,-5.826903056383133,0.0,2.9345424154400828,15.931319864655286,14.73478474018872,1021.9720015672536
2016-11-22,167.9,55.06,234.05,108.29,290.91,25.68,272.19,10.94,1.59,14.08,1180.69,311.48,653.02,213.19,115.55642578063906,120.44414799148588,335.81545958859925,138.93112884578107,89.17999999999999,67.99944528814778,60.30811936117709,12.159051044064014,-10.198716710612178,-2.881360652334988,79.90329906778634,-10.032535064533354,-6.668538548395038,-6.908629208840431,0.0,2.9545423947274685,15.951065298751743,14.505330432364346,1017.0182349088076
2016-11-23,162.47,55.15,227.46,115.78,299.5,27.05,277.95,11.94,2.29,16.62,1196.23,311.85,664.17,216.97,112.0114294519499,120.37623897090556,333.9333819254525,143.0079428055212,86.74000000000001,61.61591461378634,60.08590140949488,13.9818764290154,-10.179716730289162,-1.6215437752231956,78.90929100630362,-10.196353076696395,-6.632629494674504,-7.413719594843686,0.0,2.981815093755722,15.903465348047764,14.54684857118502,1008.0501429536912
2016-11-24,164.06,58.32,224.78,125.59,300.3,27.26,294.26,11.81,1.85,13.9,1222.13,317.22,689.88,211.97,116.25151596987249,120.3828753276691,327.3876878448069,135.12513278739155,95.87,57.52590780127421,59.53099289326668,14.482221365387735,-9.8891715766415,-2.002270653657615,80.20851693351118,-10.1343531409055,-6.768265717841684,-9.475626550376417,0.0,2.9754514639824627,15.803056361125408,14.686730244500936,1001.960401353366
2016-11-25,171.87,62.73,217.23,139.14,303.15,27.64,318.64,12.33,1.8,13.19,1267.71,320.68,732.65,211.01,116.64006102202832,120.3775116968602,319.5629789121814,148.7008460006789,82.82000000000001,38.56529236839339,59.92425612235442,12.986232005590946,-10.8724432856068,-0.8204536957666279,80.56631656296257,-10.122171335339546,-6.946810987479985,-11.854805904604492,0.0,2.9499969448894263,16.060183367563784,14.930348174020647,973.4673379687268
2016-11-26,156.18,58.33,183.01,137.45,298.0,26.33,309.21,11.43,1.69,11.77,1193.4,292.85,720.14,177.59,109.143341513142,120.40169348999856,317.6915737911352,145.72712180763483,99.76,39.7093346497193,60.60244632909,13.471276957808437,-10.638261709950864,0.0,78.70928212253006,-9.719535388685763,-6.370357039019465,-11.07335216844827,0.0,2.926360605731607,16.020056136393546,14.86396642458588,981.224947521665
2016-11-27,159.97,55.43,184.05,120.89,280.92,27.41,316.05,12.01,1.66,10.49,1168.88,292.21,721.41,152.73,108.83925091897696,120.49951157051323,315.6773304329604,142.9419428738728,99.28,27.43959819454104,60.62303721685633,14.484566817504168,-9.972898762658238,0.0,79.32222694229037,-10.062989578448237,-6.433538791768253,-12.088260208286345,0.0,2.910906076282263,15.985137990737709,15.068175304009769,964.513996997384
2016-11-28,214.28,71.72,254.3,155.29,310.36,33.8,398.69,13.82,1.89,15.08,1469.22,353.95,893.29,218.44,111.26552113352716,120.3746935179606,327.6836437181205,168.87600692482292,105.6,47.00889713504687,60.39757381398976,13.98591278847158,-10.35162564316392,0.0239090661481022,78.31318253274337,-10.131625871002674,-7.410083234973252,-6.981174588255585,0.0,2.903633356541395,15.850010857952386,14.76323925617486,1032.171714764104
2016-11-29,236.16,79.78,289.67,167.39,349.66,37.96,423.21,16.77,2.08,15.17,1617.86,359.78,1018.28,236.04,116.98642429968716,120.41423893155158,296.92330537223523,176.44999908095596,103.97,63.9268345118627,59.89520160698965,15.7185200850375,-11.526169881314038,-0.7877264569327235,78.14573725160956,-10.142716768607496,-7.90890090020001,-5.888266629196703,0.0,2.6890881241858007,15.871856289874016,14.83268463880047,1029.570109556539
2016-11-30,238.33,79.84,306.76,148.31,345.47,38.92,410.7,17.05,1.89,16.07,1603.34,350.52,1023.82,225.46,119.46905809222908,120.39951167407632,316.8998436514996,170.9989138171822,106.4,46.33792434664368,59.94476519202367,13.493640571011603,-10.980261355765164,-0.0108181706145405,78.4260642340213,-9.832262544669211,-8.128537036374212,-8.262718715593218,0.0,2.6045427571982143,15.830129060360788,14.238330708877744,1027.828126282108
2016-12-01,239.45,74.14,310.72,127.08,332.09,38.31,378.48,16.68,1.55,15.88,1534.38,336.13,959.97,235.26,114.09306365977972,120.42060256132484,321.713120246704,163.6274669058323,96.59,53.98204243099019,70.92782654488906,13.982203701403735,-10.644534430727363,0.3284542052969336,80.4010712795503,-12.706623204253614,-7.951355401687325,-7.229719785399735,0.0,2.6209063766151663,16.13851055917293,14.195494389604033,1030.4885300390952
