Date,Total_Gas_to_Power_Demand
2017-10-18,217.14
2017-10-19,208.25
2017-10-20,192.19
2017-10-21,126.67
2017-10-22,113.68
2017-10-23,191.77
2017-10-24,185.35
2017-10-25,184.36
2017-10-26,213.69
2017-10-27,185.81
2017-10-28,129.7
2017-10-29,137.55
2017-10-30,200.39
2017-10-31,193.89
2017-11-01,169.2
2017-11-02,214.87
2017-11-03,218.31
2017-11-04,151.3
2017-11-05,138.15
2017-11-06,213.68
2017-11-07,231.03
2017-11-08,232.26
2017-11-09,226.88
2017-11-10,200.46
2017-11-11,173.08
2017-11-12,134.86
2017-11-13,207.25
2017-11-14,227.57
2017-11-15,234.6
2017-11-16,221.86
2017-11-17,202.44
2017-11-18,178.79
2017-11-19,183.34
2017-11-20,217.35
2017-11-21,216.87
2017-11-22,202.93
2017-11-23,198.93
2017-11-24,214.29
2017-11-25,150.95
2017-11-26,132.81
2017-11-27,182.71
2017-11-28,212.85
2017-11-29,229.13
2017-11-30,230.3
2017-12-01,240.82
2017-12-02,196.85
2017-12-03,191.79
2017-12-04,225.3
2017-12-05,218.6
2017-12-06,206.71
2017-12-07,194.2
2017-12-08,170.74
2017-12-09,179.08
2017-12-10,163.87
2017-12-11,209.08
2017-12-12,206.62
2017-12-13,171.28
2017-12-14,192.42
2017-12-15,211.33
2017-12-16,185.66
2017-12-17,150.02
2017-12-18,231.07
2017-12-19,234.88
2017-12-20,234.61
2017-12-21,209.08
2017-12-22,173.46
2017-12-23,126.47
2017-12-24,108.9
2017-12-25,97.84
2017-12-26,109.38
2017-12-27,125.67
2017-12-28,151.68
2017-12-29,133.82
2017-12-30,109.65
2017-12-31,90.88
2018-01-01,101.49
2018-01-02,145.65
2018-01-03,146.35
2018-01-04,164.61
2018-01-05,172.27
2018-01-06,135.06
2018-01-07,130.02
2018-01-08,195.94
2018-01-09,208.27
2018-01-10,223.88
2018-01-11,244.85
2018-01-12,221.59
2018-01-13,154.49
2018-01-14,140.13
2018-01-15,179.69
2018-01-16,158.86
2018-01-17,168.87
2018-01-18,184.13
2018-01-19,199.58
2018-01-20,164.16
2018-01-21,121.5
2018-01-22,196.88
2018-01-23,178.84
2018-01-24,166.23
2018-01-25,211.07
2018-01-26,237.68
2018-01-27,138.6
2018-01-28,115.6
2018-01-29,183.9
2018-01-30,208.25
2018-01-31,173.62
2018-02-01,186.99
2018-02-02,211.37
2018-02-03,185.28
2018-02-04,162.66
2018-02-05,252.14
2018-02-06,266.56
2018-02-07,267.45
2018-02-08,257.48
2018-02-09,223.05
2018-02-10,151.0
2018-02-11,126.02
2018-02-12,200.99
2018-02-13,211.98
2018-02-14,200.15
2018-02-15,185.84
2018-02-16,208.71
2018-02-17,184.14
2018-02-18,160.48
2018-02-19,246.68
2018-02-20,241.47
2018-02-21,242.3
2018-02-22,208.38
2018-02-23,172.67
2018-02-24,120.49
2018-02-25,112.27
2018-02-26,185.34
2018-02-27,208.34
2018-02-28,189.41
2018-03-01,164.78
2018-03-02,139.82
2018-03-03,109.24
2018-03-04,118.59
2018-03-05,189.39
2018-03-06,217.34
2018-03-07,210.8
2018-03-08,191.71
2018-03-09,195.31
2018-03-10,134.29
2018-03-11,134.25
2018-03-12,163.63
2018-03-13,151.05
2018-03-14,136.73
2018-03-15,147.5
2018-03-16,142.95
2018-03-17,108.27
2018-03-18,91.18
2018-03-19,186.72
2018-03-20,208.13
2018-03-21,199.57
2018-03-22,188.98
2018-03-23,191.64
2018-03-24,156.72
2018-03-25,135.27
2018-03-26,210.45
2018-03-27,205.83
2018-03-28,207.84
2018-03-29,177.51
2018-03-30,140.84
2018-03-31,125.77
2018-04-01,121.11
2018-04-02,110.45
2018-04-03,151.86
2018-04-04,161.55
2018-04-05,160.42
2018-04-06,117.53
2018-04-07,114.42
2018-04-08,127.23
2018-04-09,172.65
2018-04-10,154.62
2018-04-11,168.34
2018-04-12,185.0
2018-04-13,168.73
2018-04-14,113.87
2018-04-15,106.44
2018-04-16,139.41
2018-04-17,123.1
2018-04-18,118.03
2018-04-19,135.42
2018-04-20,123.64
2018-04-21,97.36
2018-04-22,82.26
2018-04-23,100.27
2018-04-24,128.92
2018-04-25,94.25
2018-04-26,110.09
2018-04-27,137.87
2018-04-28,111.12
2018-04-29,99.09
2018-04-30,111.95
2018-05-01,96.58
2018-05-02,118.41
2018-05-03,134.61
2018-05-04,136.06
2018-05-05,97.06
2018-05-06,87.22
2018-05-07,115.87
2018-05-08,129.51
2018-05-09,126.84
2018-05-10,117.63
2018-05-11,107.18
2018-05-12,101.32
2018-05-13,94.35
