Date,Total_Industrial_Demand
2017-12-02,335.957993
2017-12-03,330.048964
2017-12-04,359.195811
2017-12-05,351.695607
2017-12-06,345.361944
2017-12-07,342.69069
2017-12-08,342.713396
2017-12-09,324.320321
2017-12-10,324.768497
2017-12-11,361.301237
2017-12-12,368.961066
2017-12-13,357.283622
2017-12-14,360.359105
2017-12-15,356.350119
2017-12-16,320.88137
2017-12-17,314.809014
2017-12-18,369.245638
2017-12-19,370.083542
2017-12-20,353.749118
2017-12-21,339.581629
2017-12-22,316.359315
2017-12-23,263.422308
2017-12-24,242.569583
2017-12-25,249.452473
2017-12-26,259.673832
2017-12-27,294.827633
2017-12-28,294.555826
2017-12-29,289.880632
2017-12-30,252.798984
2017-12-31,234.440008
2018-01-01,244.87343
2018-01-02,286.871083
2018-01-03,297.304207
2018-01-04,296.881573
2018-01-05,294.251647
2018-01-06,275.391893
2018-01-07,288.899993
2018-01-08,334.227807
2018-01-09,334.735754
2018-01-10,329.71255
2018-01-11,329.967664
2018-01-12,324.915159
2018-01-13,299.173716
2018-01-14,300.882033
2018-01-15,331.578737
2018-01-16,331.70395
2018-01-17,334.944561
2018-01-18,335.485808
2018-01-19,329.476396
2018-01-20,301.797864
2018-01-21,306.680026
2018-01-22,329.374988
2018-01-23,312.867431
2018-01-24,304.335647
2018-01-25,311.134369
2018-01-26,314.968066
2018-01-27,278.590552
2018-01-28,274.697999
2018-01-29,312.532348
2018-01-30,321.459838
2018-01-31,318.64215
2018-02-01,328.429796
2018-02-02,321.090886
2018-02-03,293.24989
2018-02-04,300.843276
2018-02-05,354.733169
2018-02-06,358.030907
2018-02-07,357.23131
2018-02-08,349.311645
2018-02-09,341.326702
2018-02-10,293.012168
2018-02-11,290.194495
2018-02-12,334.759592
2018-02-13,340.830147
2018-02-14,333.675419
2018-02-15,334.98063
2018-02-16,321.986059
2018-02-17,293.450083
2018-02-18,296.975181
2018-02-19,345.797079
2018-02-20,344.907604
2018-02-21,345.907053
2018-02-22,348.638752
2018-02-23,342.054532
2018-02-24,308.230632
2018-02-25,317.462734
2018-02-26,370.72748
2018-02-27,373.417443
2018-02-28,372.772971
2018-03-01,359.923173
2018-03-02,347.802626
2018-03-03,304.300649
2018-03-04,284.181522
2018-03-05,306.94704
2018-03-06,310.640763
2018-03-07,309.097551
2018-03-08,311.637827
2018-03-09,299.185794
2018-03-10,251.530271
2018-03-11,246.187812
2018-03-12,282.867769
2018-03-13,301.8235
2018-03-14,294.491188
2018-03-15,297.499691
2018-03-16,303.604535
2018-03-17,292.68626
2018-03-18,303.025583
2018-03-19,336.906047
2018-03-20,333.351034
2018-03-21,324.02066
2018-03-22,324.62643
2018-03-23,305.922315
2018-03-24,260.42303
2018-03-25,269.158296
2018-03-26,305.623576
2018-03-27,298.348431
2018-03-28,302.463496
2018-03-29,299.818941
2018-03-30,267.168637
2018-03-31,253.557774
2018-04-01,242.579362
2018-04-02,238.522956
2018-04-03,262.877039
2018-04-04,262.347811
