,Demand,,,,,,,,,,Demand (Net),,,,
,,,,,,,,,,,,,,,
,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
,,,,,,,,,,,,,,,
42692,174.3353273,62.13063636,268.4096182,119.1588182,305.04,31.96363636,276.2101818,10.51876364,1.950181818,0,11.6,1261.317164,287.3771424,742.9980545,228.5491485
42693,161.8621273,57.03336364,221.0968818,112.9589091,290.73,24.48181818,271.2527273,11.56671818,2.223,0,11.65,1164.855545,262.9495818,713.8354273,185.0805364
42694,136.7701818,49.77809091,200.0703182,104.8684545,293.08,24.07181818,264.2320909,11.38943636,2.289636364,0,11.71,1098.260027,254.4473939,675.3572727,165.7899061
42695,153.0267818,51.33618182,248.1674273,104.4976364,296.61,28.93454545,275.545,11.76617273,1.498,0,12.97,1184.351745,280.2163515,683.4123182,217.8852576
42696,167.9031455,55.062,240.6390727,108.2917273,290.91,25.68272727,272.1883636,10.93882727,1.591090909,0,14.08,1187.286955,289.7396909,659.6151909,234.9313455
42697,162.4749091,55.14645455,233.7109455,115.7825455,299.5,27.05454545,277.9519091,11.94011818,2.292,0,16.62,1202.473427,285.649597,670.4215545,243.1685485
42698,164.0579909,58.32454545,230.2976727,125.5926364,300.3,27.25727273,294.2581818,11.80617273,1.852454545,0,13.9,1227.646927,294.1142242,695.3946091,235.0765485
42699,171.8715091,62.72672727,222.3579364,139.1387273,303.15,27.63818182,318.6369091,12.33119091,1.795636364,0,13.19,1272.836818,296.5386667,737.7793727,235.1527788
42700,156.1770545,58.33172727,188.5761364,137.4529091,298,26.32636364,309.2140909,11.4295,1.686909091,0,11.77,1198.964691,267.046397,725.7004818,203.3881758
42701,159.9672727,55.43109091,188.0007909,120.8906364,280.92,27.41181818,316.0494545,12.01002727,1.659818182,0,10.49,1172.830909,270.2074909,725.3581636,174.7256182
42702,214.2790818,71.71627273,261.5949545,155.2906364,310.36,33.8,398.6869091,13.81614545,1.890454545,0,15.08,1476.514455,330.3768212,900.5793909,242.0179697
42703,236.1630273,79.78072727,297.6428455,167.3932727,349.66,37.95727273,423.2137273,16.77338182,2.084727273,0,15.17,1625.838982,331.0487545,1026.256573,264.7710182
42704,238.3310091,79.84190909,313.7311636,148.3051818,345.47,38.92090909,410.7031818,17.04610909,1.890818182,0,16.07,1610.310282,326.4452121,1030.788318,249.5300242
